Territory,Topic,Category,Location,Impact,Reference,Units,Value
Afghanistan,Water Pollution,Ba(II),Unspecified,Health,Water Pollution_Ba(II)_Unspecified_Health,$/kg,64.04
Afghanistan,Water Pollution,Be(II),Freshwaster,Health,Water Pollution_Be(II)_Freshwaster_Health,$/kg,0.03
Afghanistan,Water Pollution,Be(II),Seawater,Health,Water Pollution_Be(II)_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Be(II),Unspecified,Health,Water Pollution_Be(II)_Unspecified_Health,$/kg,0.03
Afghanistan,Water Pollution,Cd(II),Freshwaster,Health,Water Pollution_Cd(II)_Freshwaster_Health,$/kg,435.91
Afghanistan,Water Pollution,Cd(II),Seawater,Health,Water Pollution_Cd(II)_Seawater_Health,$/kg,46.38
Afghanistan,Water Pollution,Cd(II),Unspecified,Health,Water Pollution_Cd(II)_Unspecified_Health,$/kg,435.91
Afghanistan,Water Pollution,Co(II),Freshwaster,Health,Water Pollution_Co(II)_Freshwaster_Health,$/kg,0.00
Afghanistan,Water Pollution,Co(II),Seawater,Health,Water Pollution_Co(II)_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Co(II),Unspecified,Health,Water Pollution_Co(II)_Unspecified_Health,$/kg,0.00
Afghanistan,Water Pollution,Cr(III),Freshwaster,Health,Water Pollution_Cr(III)_Freshwaster_Health,$/kg,0.00
Afghanistan,Water Pollution,Cr(III),Seawater,Health,Water Pollution_Cr(III)_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Cr(III),Unspecified,Health,Water Pollution_Cr(III)_Unspecified_Health,$/kg,0.00
Afghanistan,Water Pollution,Cr(VI),Freshwaster,Health,Water Pollution_Cr(VI)_Freshwaster_Health,$/kg,"4,365.30"
Afghanistan,Water Pollution,Cr(VI),Seawater,Health,Water Pollution_Cr(VI)_Seawater_Health,$/kg,107.08
Afghanistan,Water Pollution,Cr(VI),Unspecified,Health,Water Pollution_Cr(VI)_Unspecified_Health,$/kg,"4,365.30"
Afghanistan,Water Pollution,Cu(II),Freshwaster,Health,Water Pollution_Cu(II)_Freshwaster_Health,$/kg,0.00
Afghanistan,Water Pollution,Cu(II),Seawater,Health,Water Pollution_Cu(II)_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Cu(II),Unspecified,Health,Water Pollution_Cu(II)_Unspecified_Health,$/kg,0.00
Afghanistan,Water Pollution,Hg(II),Freshwaster,Health,Water Pollution_Hg(II)_Freshwaster_Health,$/kg,96.17
Afghanistan,Water Pollution,Hg(II),Seawater,Health,Water Pollution_Hg(II)_Seawater_Health,$/kg,81.26
Afghanistan,Water Pollution,Hg(II),Unspecified,Health,Water Pollution_Hg(II)_Unspecified_Health,$/kg,96.17
Afghanistan,Water Pollution,Mo(VI),Freshwaster,Health,Water Pollution_Mo(VI)_Freshwaster_Health,$/kg,15.78
Afghanistan,Water Pollution,Mo(VI),Seawater,Health,Water Pollution_Mo(VI)_Seawater_Health,$/kg,0.08
Afghanistan,Water Pollution,Mo(VI),Unspecified,Health,Water Pollution_Mo(VI)_Unspecified_Health,$/kg,15.78
Afghanistan,Water Pollution,Ni(II),Freshwaster,Health,Water Pollution_Ni(II)_Freshwaster_Health,$/kg,148.01
Afghanistan,Water Pollution,Ni(II),Seawater,Health,Water Pollution_Ni(II)_Seawater_Health,$/kg,4.80
Afghanistan,Water Pollution,Ni(II),Unspecified,Health,Water Pollution_Ni(II)_Unspecified_Health,$/kg,148.01
Afghanistan,Water Pollution,Pb(II),Freshwaster,Health,Water Pollution_Pb(II)_Freshwaster_Health,$/kg,0.50
Afghanistan,Water Pollution,Pb(II),Seawater,Health,Water Pollution_Pb(II)_Seawater_Health,$/kg,0.03
Afghanistan,Water Pollution,Pb(II),Unspecified,Health,Water Pollution_Pb(II)_Unspecified_Health,$/kg,0.50
Afghanistan,Water Pollution,Sb(III),Freshwaster,Health,Water Pollution_Sb(III)_Freshwaster_Health,$/kg,82.49
Afghanistan,Water Pollution,Sb(III),Seawater,Health,Water Pollution_Sb(III)_Seawater_Health,$/kg,1.73
Afghanistan,Water Pollution,Sb(III),Unspecified,Health,Water Pollution_Sb(III)_Unspecified_Health,$/kg,82.49
Afghanistan,Water Pollution,Sb(V),Freshwaster,Health,Water Pollution_Sb(V)_Freshwaster_Health,$/kg,82.49
Afghanistan,Water Pollution,Sb(V),Seawater,Health,Water Pollution_Sb(V)_Seawater_Health,$/kg,1.73
Afghanistan,Water Pollution,Sb(V),Unspecified,Health,Water Pollution_Sb(V)_Unspecified_Health,$/kg,82.49
Afghanistan,Water Pollution,Se(IV),Freshwaster,Health,Water Pollution_Se(IV)_Freshwaster_Health,$/kg,0.00
Afghanistan,Water Pollution,Se(IV),Seawater,Health,Water Pollution_Se(IV)_Seawater_Health,$/kg,0.00
